Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
configuring.usp_DEL_form_group_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_unit_of_measure,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_wf_step_status_defn,configurator,@recordid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_workflow_action,configurator,@recordid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_workflow_model,configurator,@workflow_model_id:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_workflow_output_def,configurator,@recordid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_workflow_rule,configurator,@recordid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_workflow_rule_link,configurator,@workflow_rule_id:System.Int64;@step_transitionid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_workflow_step_def,configurator,@model_step_id:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_workflow_step_transn,configurator,@step_transitionid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_xref_type,configurator,@recordid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_INS_com_obj_attribute,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_com_obj_list_name,configurator,@mnemonic:System.String;@listname:System.String;@description:System.String;@commonobjattrid:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_date_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_int_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@unitid:System.Int64,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_ms_attr_fg_link,configurator,@docmsattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_INS_doc_ms_attribute,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32;@docmslistid:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_multi_select_list,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_radiob_attr,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32;@doc_radioblistid:System.Int64,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_radiob_list,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32;@restricted:System.Boolean,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_rb_attr_fg_link,configurator,@docradiobattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_INS_doc_real_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@unitid:System.Int64,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_doc_text_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_file_date_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
