TABLE,CREATE,READ,UPDATE,DELETE,PROCESS
[com_obj].[file_to_com_obj_radiob_links],editing.usp_INS_file_to_com_obj_radiob_lnk,"reading.usp_SEL_fl_cm_obj_ms_lnk_by_fl
reading.usp_SEL_all_file_cm_obj_rb_lnk
reading.usp_SEL_files_by_co_rb_attr (applies filter group)
reading.usp_SEL_all_fls_by_co_rb_attr (no filter group)",editing.usp_UPD_file_to_com_obj_rb_lnk,editing.usp_DEL_file_to_com_obj_rb_link,
[doc_attr].[doc_date_field_names],configuring.usp_INS_doc_date_field_name,reading.usp_SEL_all_doc_date_fields,configuring.usp_UPD_doc_date_field_name,configuring.usp_DEL_doc_date_field_name,
[doc_attr].[doc_date_values],editing.usp_INS_doc_date_value,"reading.usp_SEL_doc_date_values_by_doc
reading.usp_SEL_docs_date_equals (filter group applied, retrieves files)
reading.usp_SEL_docs_date_after (filter group applied, retrieves files)
reading.usp_SEL_docs_date_before (filter group applied, retrieves files)
reading.usp_SEL_docs_date_between (filter group applied, retrieves files)
reading.usp_SEL_all_docs_date_equals (no filter group, no files)
reading.usp_SEL_all_docs_date_before (no filter group, no files)
reading.usp_SEL_all_docs_date_after (no filter group, no files)
reading.usp_SEL_all_docs_date_between (no filter group, not files)
reading.usp_SEL_docs_date_expired",editing.usp_UPD_doc_date_value,editing.usp_DEL_doc_date_value,
[doc_attr].[doc_free_text_field_names],configuring.usp_INS_doc_text_field_name,reading.usp_SEL_all_doc_text_fields,configuring.usp_UPD_doc_text_field_name,configuring.usp_DEL_doc_text_field_name,
[doc_attr].[doc_free_text_values],editing.usp_INS_doc_text_value,"reading.usp_SEL_all_dcs_by_txt_fld_any
reading.usp_SEL_docs_by_text_field (applies filter group, includes files)*
reading.usp_SEL_all_docs_by_text_field (no filter group, no files)
reading.usp_SEL_doc_text_values_by_doc",editing.usp_UPD_doc_text_value,editing.usp_DEL_doc_text_value,
[doc_attr].[doc_int_values],editing.usp_INS_doc_int_value,"reading.usp_SEL_all_docs_int_any
reading.usp_SEL_doc_int_values_by_doc
reading.usp_SEL_docs_int_equals (applies filter group, retrieves files)
reading.usp_SEL_docs_int_less_than (applies filter group, retrieves files)
reading.usp_SEL_docs_int_greater_than (applies filter group, retrieves files)
reading.usp_SEL_docs_int_between (applies filter group, retrieves files)
reading.usp_SEL_all_docs_int_equals (does not apply filter group, no files)
reading.usp_SEL_all_docs_int_less_than (does not apply filter group, no files)
reading.usp_SEL_all_docs_int_grtr_than (does not apply filter group, no files)
reading.usp_SEL_all_docs_int_between (does not apply filter group, no files)",editing.usp_UPD_doc_int_value,editing.usp_DEL_doc_int_value,
[doc_attr].[doc_integer_field_names],configuring.usp_INS_doc_int_field_name,reading.usp_SEL_all_doc_int_fields,configuring.usp_UPD_doc_int_field_name,configuring.usp_DEL_doc_int_field_name,
[doc_attr].[doc_multi_select_attributes],configuring.usp_INS_doc_ms_attribute,"reading.usp_SEL_all_doc_ms_attributes
reading.usp_SEL_doc_ms_attr_by_list","configuring.usp_UPD_doc_ms_attr_text
configuring.usp_UPD_doc_ms_attr_posn
configuring.usp_UPD_doc_ms_attr_list",configuring.usp_DEL_doc_ms_attribute,
[doc_attr].[doc_multi_select_links],editing.usp_INS_doc_multi_select_link,"reading.usp_SEL_doc_ms_attr_by_doc
reading.usp_SEL_doc_ms_list_not_linkd
reading.usp_SEL_docs_multi_sel_attr (applies filter group, retrieves files)
reading.usp_SEL_all_docs_multi_sel_atr (applies filter group, retrieves files)",editing.usp_UPD_doc_multi_select_link,editing.usp_DEL_doc_multi_select_link,
[doc_attr].[doc_multi_select_lists],configuring.usp_INS_doc_multi_select_list,reading.usp_SEL_all_doc_ms_lists,"configuring.usp_UPD_doc_ms_list_text
configuring.usp_UPD_doc_ms_list_posn",configuring.usp_DEL_doc_ms_list,
[doc_attr].[doc_radio_button_links],editing.usp_INS_doc_radiob_link,"reading.usp_SEL_docs_by_radio_button (applies filter group, includes files)
reading.usp_SEL_all_docs_by_radio_btn (doesn't apply filter group, doesn't include files)
reading.usp_SEL_doc_rb_attr_by_doc 
reading.usp_SEL_doc_rb_list_not_linkd",editing.usp_UPD_doc_radiob_link ,editing.usp_DEL_doc_radiob_link,
[doc_attr].[doc_radio_button_list_names],configuring.usp_INS_doc_radiob_list,reading.usp_SEL_all_doc_radiob_lists,"configuring.usp_UPD_doc_rb_list_text 
configuring.usp_UPD_doc_rb_list_posn
configuring.usp_UPD_doc_rb_restriction",configuring.usp_DEL_doc_radiob_list,
[doc_attr].[doc_radiob_attributes],configuring.usp_INS_doc_radiob_attr,"reading.usp_SEL_all_doc_radiob_attr*
reading.usp_SEL_doc_radiob_attr_by_list*","configuring.usp_UPD_doc_radiob_attr
configuring.usp_UPD_doc_rb_attr_posn
configuring.usp_UPD_doc_rb_attr_list",configuring.usp_DEL_doc_radiob_attr,
[doc_attr].[doc_radiob_fgroup_links],configuring.usp_INS_doc_rb_attr_fg_link,reading.usp_SEL_doc_rb_attr_fg_links,configuring.usp_UPD_doc_rb_attr_fg_link,configuring.usp_DEL_doc_rb_attr_fg_link,
