Stored procedure,Authentication,Input Parameters,Data Type,"OptionalOrMandatory
",Output Parameters,Data Type,Alias,Data Type,Description
[authorising].[usp_SEL_revoke_log],,,,,,,Granted On,datetime2(7),
[authorising].[usp_SEL_revoke_log],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_revoke_log],,,,,,,Actioned On,datetime2(7),
[authorising].[usp_SEL_revoke_log],,,,,,,Revoked By,nvarchar(128),
[authorising].[usp_UPD_cancel_authoriser_requ],Authoriser,@request_id,bigint,Mandatory,@message,nvarchar(1000),,,Cancels a pending authoriser grant or revokation request.
[authorising].[usp_UPD_cancel_authoriser_requ],,,,,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_contr_doc_group_name],Authoriser,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Updates a controller level document edit group name details.
[authorising].[usp_UPD_contr_doc_group_name],,@mnemonic,nvarchar(10),Optional,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_contr_doc_group_name],,@attribute_name,nvarchar(50),Mandatory,,,,,
[authorising].[usp_UPD_contr_doc_group_name],,@description,nvarchar(max),Optional,,,,,
[authorising].[usp_UPD_contr_doc_group_sid],Authoriser,@contr_doc_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),,,Updates the notes for a user sid for a controller level document group link.
[authorising].[usp_UPD_contr_doc_group_sid],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_contr_doc_group_sid],,@inputnotes,nvarchar(max),Optional,,,,,
[authorising].[usp_UPD_contr_file_group_name],Authoriser,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Updates a controller level file edit group name details.
[authorising].[usp_UPD_contr_file_group_name],,@mnemonic,nvarchar(10),Optional,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_contr_file_group_name],,@attribute_name,nvarchar(50),Mandatory,,,,,
[authorising].[usp_UPD_contr_file_group_name],,@description,nvarchar(max),Optional,,,,,
[authorising].[usp_UPD_contr_file_group_sid],Authoriser,@contr_file_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),,,Updates the notes for a user sid for a controller level file group link.
[authorising].[usp_UPD_contr_file_group_sid],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_contr_file_group_sid],,@inputnotes,nvarchar(max),Optional,,,,,
[authorising].[usp_UPD_doc_grp_viewer_notes],Authoriser,@docgroupid,bigint,Mandatory,@message,nvarchar(1000),,,Updates the notes for a document viewer group permission record.
[authorising].[usp_UPD_doc_grp_viewer_notes],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_doc_grp_viewer_notes],,@inputnotes,nvarchar(max),Optional,,,,,
[authorising].[usp_UPD_form_group_owner],Authoriser,@formgroupid,bigint,Mandatory,@message,nvarchar(1000),,,Updates a form group owner authorisation.
[authorising].[usp_UPD_form_group_owner],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_form_group_owner],,@new_user_sid_id,bigint,Mandatory,,,,,
[authorising].[usp_UPD_user_role_link_notes],Authoriser,@rolename,nvarchar(50),Mandatory,@message,nvarchar(1000),,,Updates the record notes for a user role link.
[authorising].[usp_UPD_user_role_link_notes],,@userid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_UPD_user_role_link_notes],,@recordnotes,nvarchar(max),Optional,,,,,
[configuring].[usp_DEL_any_form_id],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,"Deletes any form ID record, regardless of ownership.  "
[configuring].[usp_DEL_any_form_id],,,,,@transaction_status,nvarchar(50),,,Is owned by the configuring schema.
[configuring].[usp_DEL_com_obj_attribute],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a common object attribute record.
[configuring].[usp_DEL_com_obj_attribute],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_com_obj_list_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a common object list name record.
[configuring].[usp_DEL_com_obj_list_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_date_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a document date field name record.
[configuring].[usp_DEL_doc_date_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_int_field_name],Configurator,@id_to_delete,nvarchar(50),Mandatory,@message,nvarchar(1000),,,Deletes a document integer field name.
[configuring].[usp_DEL_doc_int_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_ms_attr_fg_link],Configurator,@docmsattrid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a document multi-select attribute ID to filter group ID link.
[configuring].[usp_DEL_doc_ms_attr_fg_link],,@filtergroupid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_ms_attribute],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Updates the attribute list assignment for a document multi-select attribute.
[configuring].[usp_DEL_doc_ms_attribute],,,,Optional,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_ms_list],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a document multi-select list name record.
[configuring].[usp_DEL_doc_ms_list],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_radiob_list],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a record from doc_radio_button_list_names
[configuring].[usp_DEL_doc_radiob_list],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_rb_attr_fg_link],Configurator,@docradiobattrid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a document radio button attribute ID to filter group ID link.
[configuring].[usp_DEL_doc_rb_attr_fg_link],,@filtergroupid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_real_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a document real number field.
[configuring].[usp_DEL_doc_real_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_doc_text_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a document free text field name.
[configuring].[usp_DEL_doc_text_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_date_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a file date field name.
[configuring].[usp_DEL_file_date_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_int_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a file integer field name.
[configuring].[usp_DEL_file_int_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_ms_attr_fg_link],Configurator,@filemsattrid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a file multi-select attribute ID to filter group ID link.
[configuring].[usp_DEL_file_ms_attr_fg_link],,@filtergroupid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_ms_attribute],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a file multi-select attribute.
[configuring].[usp_DEL_file_ms_attribute],,,,,@transaction_status,nvarchar(50),,,
