Stored procedure,Authentication,Input Parameters,Data Type,"OptionalOrMandatory
",Output Parameters,Data Type,Alias,Data Type,Description
[reading].[usp_SEL_files_int_equals] ,,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_files_int_equals] ,,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_files_int_equals] ,,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_sids_by_duty_function],None,@functionid,bigint,Mandatory,@message,nvarchar(1000),Duty Function ID,bigint,Lists the sid records for a given duty function from the duty function to sid links table.
[reading].[usp_SEL_sids_by_duty_function],,,,,@transaction_status,nvarchar(50),User ID,bigint,
[reading].[usp_SEL_sids_by_duty_function],,,,,,,Database Username,nvarchar(150),
[reading].[usp_SEL_sids_by_duty_function],,,,,,,System Username,nvarchar(128),
[reading].[usp_SEL_sids_by_duty_function],,,,,,,Created,nvarchar(30),
[reading].[usp_SEL_sids_by_duty_function],,,,,,,Granted By,nvarchar(128),
[reading].[usp_SEL_sids_by_duty_function],,,,,,,Windows Account Current,nvarchar(5),
[reading].[usp_DEL_tag_br_tree_branch],Controller; Editor; Reader,@tag_br_tree_node_id,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a branch of a tag browsing tree.
[reading].[usp_DEL_tag_br_tree_branch],,,,,@transaction_status,nvarchar(50),,,
[reading].[usp_INS_tag_browsing_tree_node],Controller; Editor; Reader,@tag_id,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a node into the tag browsing tree.
[reading].[usp_INS_tag_browsing_tree_node],,@tag_br_treeid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[reading].[usp_INS_tag_browsing_tree_node],,@parentid,bigint,Mandatory,@newrecordid,bigint,,,
[reading].[usp_INS_tag_browsing_tree_node],,@invert_tag,bit,Optional,@newnode,nvarchar(4000),,,
[reading].[usp_SEL_all_common_obj_lists],None,,,,@message,nvarchar(1000),Common Object List Name,nvarchar(50),Lists all common object lists.
[reading].[usp_SEL_all_common_obj_lists],,,,,@transaction_status,nvarchar(50),Common Object Name,nvarchar(50),
[reading].[usp_SEL_all_common_obj_lists],,,,,,,Common Object Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_common_obj_lists],,,,,,,Common Object Description,nvarchar(max),
[reading].[usp_SEL_all_common_obj_lists],,,,,,,Common Object ID,bigint,
[reading].[usp_SEL_all_common_obj_lists],,,,,,,Filter Group ID,bigint,
[reading].[usp_SEL_all_common_obj_lists],,,,,,,Common Object Attribute Name,nvarchar(50),
[reading].[usp_SEL_all_common_obj_lists],,,,,,,Common Object Attribute ID,bigint,
[reading].[usp_SEL_all_common_obj_lists],,,,,,,Common Object List ID,bigint,
[reading].[usp_SEL_all_common_obj_lists],,,,,,,List Position,smallint,
[reading].[usp_SEL_all_common_objects],None,,,,@message,nvarchar(1000),Common Object Name,nvarchar(50),Reads all common object records and associated attribute.
[reading].[usp_SEL_all_common_objects],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_common_objects],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_common_objects],,,,,,,Common Object ID,bigint,
[reading].[usp_SEL_all_common_objects],,,,,,,Common Object Attribute ID,bigint,
[reading].[usp_SEL_all_common_objects],,,,,,,Common Object Attribute Name,nvarchar(50),
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],None,,,,@message,nvarchar(1000),Document ID,nvarchar(50),Lists all document common object muti-select list objects which are linked to any document
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,@transaction_status,nvarchar(50),Common Object List Name,nvarchar(50),
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,Common Object Name,nvarchar(50),
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,Common Object Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,Common Object Description,nvarchar(max),
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,Common Object ID,bigint,
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,Filter Group ID,bigint,
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,Common Object Attribute Name,nvarchar(50),
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,Common Object List ID,bigint,
[reading].[usp_SEL_all_doc_com_obj_ms_lnk],,,,,,,List Position,smallint,
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],None,,,,@message,nvarchar(1000),Document ID,nvarchar(50),Lists all document common object radio button list objects which are linked to any document
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,@transaction_status,nvarchar(50),Common Object List Name,nvarchar(50),
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,Common Object Name,nvarchar(50),
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,Common Object Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,Common Object Description,nvarchar(max),
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,Common Object ID,bigint,
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,Filter Group ID,bigint,
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,Common Object Attribute Name,nvarchar(50),
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,Common Object List ID,bigint,
[reading].[usp_SEL_all_doc_com_obj_rb_lnk],,,,,,,List Position,smallint,
[reading].[usp_SEL_all_doc_date_fields],None,,,,@message,nvarchar(1000),Date Field Name,nvarchar(50),Selects all document date field names.
[reading].[usp_SEL_all_doc_date_fields],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_date_fields],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_date_fields],,,,,,,Document Date Field Name ID,bigint,
[reading].[usp_SEL_all_doc_int_fields],None,,,,@message,nvarchar(1000),Document Integer Field Name,nvarchar(50),Selects all document integer field names.
[reading].[usp_SEL_all_doc_int_fields],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_int_fields],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_int_fields],,,,,,,Document Integer Field Name ID,bigint,
[reading].[usp_SEL_all_doc_ms_attributes],None,,,,@message,nvarchar(1000),Doc Multi-Select List ID,bigint,Selects all records of document multi-select list attributes.
[reading].[usp_SEL_all_doc_ms_attributes],,,,,@transaction_status,nvarchar(50),Doc Multi-Select List Name,nvarchar(50),
[reading].[usp_SEL_all_doc_ms_attributes],,,,,,,Name List Position,int,
[reading].[usp_SEL_all_doc_ms_attributes],,,,,,,Doc Multi-Select Attribute ID,bigint,
[reading].[usp_SEL_all_doc_ms_attributes],,,,,,,Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_ms_attributes],,,,,,,Doc Multi-Select Attribute Name,nvarchar(50),
[reading].[usp_SEL_all_doc_ms_attributes],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_ms_attributes],,,,,,,List Position,int,
[reading].[usp_SEL_all_doc_ms_lists],None,,,,@message,nvarchar(1000),Doc Multi-Select List ID,bigint,Selects all document multi-select list names.
[reading].[usp_SEL_all_doc_ms_lists],,,,,@transaction_status,nvarchar(50),Mnemonic,nchar(10),
[reading].[usp_SEL_all_doc_ms_lists],,,,,,,Doc Multi-Select List Name,nvarchar(50),
[reading].[usp_SEL_all_doc_ms_lists],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_ms_lists],,,,,,,List Position,int,
[reading].[usp_SEL_all_doc_radiob_attr],None,,,,@message,nvarchar(1000),Doc Radio Button List ID,bigint,Selects all document radio button attributes.
[reading].[usp_SEL_all_doc_radiob_attr],,,,,@transaction_status,nvarchar(50),Doc Radio Button List Name,nvarchar(50),
[reading].[usp_SEL_all_doc_radiob_attr],,,,,,,Name List Position,int,
[reading].[usp_SEL_all_doc_radiob_attr],,,,,,,Doc Radio Button Attribute ID,bigint,
[reading].[usp_SEL_all_doc_radiob_attr],,,,,,,Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_radiob_attr],,,,,,,Doc Radio Button Attribute Name,nvarchar(50),
[reading].[usp_SEL_all_doc_radiob_attr],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_radiob_attr],,,,,,,Attribute List Position,int,
[reading].[usp_SEL_all_doc_radiob_lists],None,,,,@message,nvarchar(1000),Doc Radio Button List ID,bigint,Selects all data from the doc_radio_button_list_names table
[reading].[usp_SEL_all_doc_radiob_lists],,,,,@transaction_status,nvarchar(50),Mnemonic,nchar(10),Note that if no records are retrieved that the Message will be a cursor position 1.
[reading].[usp_SEL_all_doc_radiob_lists],,,,,,,Doc Radio Button List Name,nvarchar(50),
[reading].[usp_SEL_all_doc_radiob_lists],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_radiob_lists],,,,,,,List Position,int,
[reading].[usp_SEL_all_doc_radiob_lists],,,,,,,Restricted,bit,
[reading].[usp_SEL_all_doc_real_fields],None,,,,@message,nvarchar(1000),Document Real Number Field Name,nvarchar(50),List all document real number field names.
[reading].[usp_SEL_all_doc_real_fields],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_real_fields],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_real_fields],,,,,,,Document Real Number Field Name ID,bigint,
[reading].[usp_SEL_all_doc_text_fields],None,,,,@message,nvarchar(1000),Document Free Text Field Name,nvarchar(50),Selects all document free text field names.
[reading].[usp_SEL_all_doc_text_fields],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_text_fields],,,,,,,Description,nvarchar(max),
[reading].[usp_SEL_all_doc_text_fields],,,,,,,Document Free Text Field Name ID,bigint,
[reading].[usp_SEL_all_doc_xrefs_by_doc],None,@documentid,bigint,Mandatory,@message,nvarchar(1000),Record  ,bigint,Returns metadata for documents for a given document and cross reference type. 
[reading].[usp_SEL_all_doc_xrefs_by_doc],,@xref_typeid,bigint,Mandatory,@transaction_status,nvarchar(50),Document ID,nvarchar(50),No filter group is applied. 
[reading].[usp_SEL_all_doc_xrefs_by_doc],,@formid,bigint,Optional,@numrows,bigint,File ID,bigint,
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,@numrecords,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,,,Name,nvarchar(50),
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,,,Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_doc_xrefs_by_doc],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_br_tr_node],Controller;Editor;Reviewer;Reader,@tag_br_tree_node_id,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Selects all of the documents via selection of a browsing tree node. 
[reading].[usp_SEL_all_docs_by_br_tr_node],,@tag_treeid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Tag descendants are applied if @tag_descendants =  'ON'.  Defaults to ON.
[reading].[usp_SEL_all_docs_by_br_tr_node],,@tag_descendants,nvarchar(3),Optional,@numrows,bigint,Field Type,nvarchar(50),If no tag tree ID is supplied then the default is retrieved from global settings.
[reading].[usp_SEL_all_docs_by_br_tr_node],,@formid,bigint,Optional,@numdocs,bigint,Name ID,bigint,No filter group is applied.  No file details are returned.
[reading].[usp_SEL_all_docs_by_br_tr_node],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_br_tr_node],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_br_tr_node],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_br_tr_node],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_br_tr_node],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_br_tr_node],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_co_ms_attr],Controller;Editor;Reviewer;Reader,@commonobjlistid,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Lists all the metadata for documents for a given common object multi-select attribute.
[reading].[usp_SEL_all_docs_by_co_ms_attr],,@commonobjectid,bigint,Mandatory,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Does not list associated files and does not apply a filter group.
[reading].[usp_SEL_all_docs_by_co_ms_attr],,@formid,bigint,Optional,@numrows,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_by_co_ms_attr],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_by_co_ms_attr],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_co_ms_attr],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_co_ms_attr],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_co_ms_attr],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_co_ms_attr],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_co_ms_attr],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_doc_group],Controller;Editor;Reviewer;Reader,@docgroupid,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Lists all document IDs linked to a document group.
[reading].[usp_SEL_all_docs_by_doc_group],,@formid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Only lists those documents for which the connected user has rights. 
[reading].[usp_SEL_all_docs_by_doc_group],,,,,@numrows,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_by_doc_group],,,,,@numfiles,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_by_doc_group],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_doc_group],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_doc_group],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_doc_group],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_doc_group],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_doc_group],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_dty_funct],Controller;Editor;Reviewer;Reader,@functionid,bigint,Mandatory,@message,nvarchar(1000),Record  ,bigint,Selects metadata for documents linked to a given duty function.  
[reading].[usp_SEL_all_docs_by_dty_funct],,@formid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),No filter group is applied. 
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,@numrows,bigint,File ID,bigint,
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,@numrecords,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_dty_funct],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_funct_lst],Controller;Editor;Reviewer;Reader,@function_list_id,bigint,Mandatory,@message,nvarchar(1000),Record  ,bigint,Selects metadata for documents linked to a given function list.  
[reading].[usp_SEL_all_docs_by_funct_lst],,@formid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),No filter group is applied. 
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,@numrows,bigint,File ID,bigint,
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,@numrecords,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_funct_lst],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_people_lst],Controller;Editor;Reviewer;Reader,@peoplelistid,bigint,Mandatory,@message,nvarchar(1000),Record  ,bigint,Selects metadata for documents linked to a given people list.  
[reading].[usp_SEL_all_docs_by_people_lst],,@formid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),No filter group is applied. 
[reading].[usp_SEL_all_docs_by_people_lst],,,,,@numrows,bigint,File ID,bigint,
[reading].[usp_SEL_all_docs_by_people_lst],,,,,@numrecords,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_by_people_lst],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_by_people_lst],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_people_lst],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_people_lst],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_people_lst],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_people_lst],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_people_lst],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_user],Controller;Editor;Reviewer;Reader,@sidid,bigint,Mandatory,@message,nvarchar(1000),Record  ,bigint,Selects metadata for all documents linked to a given user.  
[reading].[usp_SEL_all_docs_by_user],,@formid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),No filter group is applied. 
[reading].[usp_SEL_all_docs_by_user],,,,,@numrows,bigint,File ID,bigint,
[reading].[usp_SEL_all_docs_by_user],,,,,@numrecords,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_by_user],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_by_user],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_user],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_user],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_user],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_user],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_user],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_for_user],Controller;Editor;Reviewer;Reader,@formid,bigint,Optional,@message,nvarchar(1000),Record  ,bigint,Selects metadata for all documents linked to the connected user.  
[reading].[usp_SEL_all_docs_for_user],,,,,@transaction_status,nvarchar(50),Document ID,nvarchar(50),No filter group is applied. 
[reading].[usp_SEL_all_docs_for_user],,,,,@numrows,bigint,File ID,bigint,
[reading].[usp_SEL_all_docs_for_user],,,,,@numrecords,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_for_user],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_for_user],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_for_user],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_for_user],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_for_user],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_for_user],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_for_user],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_radio_btn] ,Controller;Editor;Reviewer;Reader,@docradiobattrid,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Selects all of the documents for a given document radio button attribute.
[reading].[usp_SEL_all_docs_by_radio_btn] ,,@formid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Does not apply a filter group.
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,@numrows,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,@numfiles,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,@numdocs,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,@outputformid,bigint,Mnemonic,nvarchar(`10),
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,@formname,nvarchar(50),Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_radio_btn] ,,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_tag],Controller;Editor;Reviewer;Reader,@tag_id,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Returns document data linked to a given tag.
[reading].[usp_SEL_all_docs_by_tag],,@tag_treeid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Tag descendants are applied if @tag_descendants =  'ON'.  Defaults to ON.
[reading].[usp_SEL_all_docs_by_tag],,@tag_descendants,nvarchar(3),Optional,@numrows,bigint,Field Type,nvarchar(50),If no tag tree ID is supplied then the default is retrieved from global settings.
[reading].[usp_SEL_all_docs_by_tag],,@formid,bigint,Optional,@numdocs,bigint,Name ID,bigint,No filter group is applied and no linked files are returned
[reading].[usp_SEL_all_docs_by_tag],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_tag],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_tag],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_tag],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_tag],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_tag],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_by_text_field],Controller;Editor;Reviewer;Reader,@doctextnameid,bigint,Optional,@message,nvarchar(1000),Record  ,bigint,Selects a list of documents for a given text string and free text field ID.
[reading].[usp_SEL_all_docs_by_text_field],,@likestring,nvarchar(max),Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Outputs data according to the given form ID.
[reading].[usp_SEL_all_docs_by_text_field],,@formid,bigint,Optional,@numrows,bigint,Field Type,nvarchar(50), If no doc text name or form ID are supplied then the default will be used.
[reading].[usp_SEL_all_docs_by_text_field],,,,,@numdocs,bigint,Name ID,bigint,No filter group is applied.
[reading].[usp_SEL_all_docs_by_text_field],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_by_text_field],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_by_text_field],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_by_text_field],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_by_text_field],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_by_text_field],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_dcs_by_txt_fld_any],Controller;Editor;Reviewer;Reader,@doctextnameid,bigint,Optional,@message,nvarchar(1000),Record  ,bigint,Selects document IDs and metadata for documents linked to the given document text field ID.
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,@formid,bigint,Optional,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Outputs data according to the given form ID.
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,@numrows,bigint,Field Type,nvarchar(50), If no doc text name or form ID are supplied then the default will be used.
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,@numdocs,bigint,Name ID,bigint,No filter group is applied.
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_dcs_by_txt_fld_any],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_date_after],Controller;Editor;Reviewer;Reader,@docdatenameid,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Returns metadata for documents and associated files where a date record is after a given date.
[reading].[usp_SEL_all_docs_date_after],,@datevalue,datetime2(7),Mandatory,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Does not apply  a filter group.
[reading].[usp_SEL_all_docs_date_after],,@formid,bigint,Optional,@numrows,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_date_after],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_date_after],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_date_after],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_date_after],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_date_after],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_date_after],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_date_after],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_date_before],Controller;Editor;Reviewer;Reader,@docdatenameid,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Returns metadata for documents and associated files where a date record is before a given date.
[reading].[usp_SEL_all_docs_date_before],,@datevalue,datetime2(7),Mandatory,@transaction_status,nvarchar(50),Document ID,nvarchar(50),Doesn't apply a filter group. 
[reading].[usp_SEL_all_docs_date_before],,@formid,bigint,Optional,@numrows,bigint,Field Type,nvarchar(50),
[reading].[usp_SEL_all_docs_date_before],,,,,@numdocs,bigint,Name ID,bigint,
[reading].[usp_SEL_all_docs_date_before],,,,,@outputformid,bigint,Name,nvarchar(50),
[reading].[usp_SEL_all_docs_date_before],,,,,@formname,nvarchar(50),Mnemonic,nvarchar(10),
[reading].[usp_SEL_all_docs_date_before],,,,,,,Attribute ID,bigint,
[reading].[usp_SEL_all_docs_date_before],,,,,,,Value,nvarchar(max),
[reading].[usp_SEL_all_docs_date_before],,,,,,,Units,nvarchar(50),
[reading].[usp_SEL_all_docs_date_before],,,,,,,Position,nvarchar(50),
[reading].[usp_SEL_all_docs_date_equals],Controller;Editor;Reviewer;Reader,@docdatenameid,bigint,Mandatory,@message,nvarchar(1000),Record,bigint,Returns metadata for documents and associated files where a date record is equal to a given date.
