Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
reading.usp_SEL_docs_real_equals,reader,@docrealnameid:System.Int64;@realnumbervalue:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_real_greater_than,reader,@docrealnameid:System.Int64;@realnumbervalue:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_real_less_than,reader,@docrealnameid:System.Int64;@realnumbervalue:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_document_details,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_duty_fnctns_for_user,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_duty_functions_by_sid,reader,@sidrecordid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_eula,reader,,@message:System.String;@transaction_status:System.String;@eula:System.String,0
reading.usp_SEL_file,reader,@fileid:System.Int64,@filename:System.String;@filesize:System.Int64;@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_date_values_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_details,reader,@fileid:System.String,@thumbnail:System.Byte[];@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_group_names,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_group_names_rstr,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_groups_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_int_values_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_ms_attr_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_ms_attr_by_list,reader,@file_mslistid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_ms_attr_fg_links,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_ms_list_not_linkd,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_radiob_attr_by_list,reader,@file_radioblistid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_rb_attr_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_rb_attr_fg_links,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_rb_list_not_linkd,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_real_values_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_file_text_values_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_files_by_co_ms_attr,reader,@commonobjlistid:System.Int64;@commonobjectid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_by_co_rb_attr,reader,@commonobjlistid:System.Int64;@commonobjectid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
