MenuItemId,Label,ParentMenu,Roles,ActionType,Reference,Shortcut,Order,Description,Icon
rid-upd-tag-tree-tag-form-1,Replace Tag at Tag Tree Node,Contr-Tags-TagRelationshipTree,Controller,FORM,rid-upd-tag-tree-tag-form,,41,Replace the tag at a given node in a tag tree.,
rid-del-tag-tree-node-form,Delete Tag Tree Node,Contr-Tags-TagRelationshipTree,Controller,FORM,rid-del-tag-tree-node-form,,42,Delete a tag tree node.,
rid-del-tag-tree-branch-form-1,Delete Tag Tree Branch,Contr-Tags-TagRelationshipTree,Controller,FORM,rid-del-tag-tree-branch-form,,43,Delete a branch of a tag tree including all descendants of the given node.,
rid-ins-wf-funct-output-file-form-1,Create File to Workflow Output Step For Function,Contr-Workflow,Controller,FORM,rid-ins-wf-funct-output-file-form,,1,Create a new workflow function output file record to create a a new record of output files for a given function and step. ,
rid-upd-wf-funct-output-file-form,Update File to Workflow Output Step for Function,Contr-Workflow,Controller,FORM,rid-upd-wf-funct-output-file-form,,2,Update a workflow function output file record. ,
rid-del-wf-funct-output-file-form-1,Delete File to Workflow Output Step For Function,Contr-Workflow,Controller,FORM,rid-del-wf-funct-output-file-form,,3,Delete a workflow function output file record. ,
rid-ins-wf-input-step-file-form-4,Create File to Workflow Input Step Link,Contr-Workflow,Controller,FORM,rid-ins-wf-input-step-file-form,,4,Create a file to input step ID link.,
rid-del-wf-input-step-file-form-3,Delete File to Workflow Input Step Link,Contr-Workflow,Controller,FORM,rid-del-wf-input-step-file-form,,6,Delete a file to input step ID link.,
rid-ins-wf-people-output-file-form-1,Create File to Workflow Output Step for Person,Contr-Workflow,Controller,FORM,rid-ins-wf-people-output-file-form,,7,Create a workflow person output file record to create a new record of output file for a given person and step. ,
rid-upd-wf-people-output-file-form,Update File to Workflow Output Step for Person,Contr-Workflow,Controller,FORM,rid-upd-wf-people-output-file-form,,8,Update a workflow persons output file record. ,
rid-del-wf-people-output-file-form-5,Delete File to Workflow Output Step for Person,Contr-Workflow,Controller,FORM,rid-del-wf-people-output-file-form,,9,Delete a workflow person output file record. ,
rid-ins-wf-step-duty-funct-form,Create Workflow Instance Step to Duty Function Link,Contr-Workflow,Controller,FORM,rid-ins-wf-step-duty-funct-form,,10,Create a record to create a workflow instance step to duty function link.,
rid-upd-wf-step-duty-funct-form,Update Workflow Step Duty Function Link,Contr-Workflow,Controller,FORM,rid-upd-wf-step-duty-funct-form,,11,Update a workflow step duty funcion record. ,
rid-del-wf-step-duty-funct-form,Delete Workflow Instance Step to Duty Function Link,Contr-Workflow,Controller,FORM,rid-del-wf-step-duty-funct-form,,12,Delete a workflow instance step to duty function record.,
rid-ins-workflow-instance-def-form,Create Workflow Instance,Contr-Workflow,Controller,FORM,rid-ins-workflow-instance-def-form,,13,Create a workflow instance defintion record to create a new workflow instance. ,
rid-upd-workflow-instance-def-form,Update Workflow Instance,Contr-Workflow,Controller,FORM,rid-upd-workflow-instance-def-form,,14,Update a workflow instance definition record. ,
rid-upd-wf-inst-def-pres-step-form,Update Workflow Instance Present Step,Contr-Workflow,Controller,FORM,rid-upd-wf-inst-def-pres-step-form,,15,Update the present step for a workflow instance.,
rid-del-workflow-instance-def-form,Delete Workflow Instance,Contr-Workflow,Controller,FORM,rid-del-workflow-instance-def-form,,16,Delete a workflow instance defintion record. ,
rid-ins-workflow-instance-step-form,Create Workflow Instance Step,Contr-Workflow,Controller,FORM,rid-ins-workflow-instance-step-form,,17,Create a new workflow instance step record.,
rid-upd-workflow-instance-step-form-1,Update Workflow Instance Step,Contr-Workflow,Controller,FORM,rid-upd-workflow-instance-step-form,,18,Update a workflow instance step record. ,
rid-del-workflow-instance-step-form-1,Delete Workflow Instance Step,Contr-Workflow,Controller,FORM,rid-del-workflow-instance-step-form,,19,Delete a workflow instance step.,
rid-ins-workflow-participant-form,Create Workflow Instance Step to User Link,Contr-Workflow,Controller,FORM,rid-ins-workflow-participant-form,,20,Create a record to create a workflow instance step to person link.,
rid-upd-workflow-participant-form,Update Workflow Step Participant,Contr-Workflow,Controller,FORM,rid-upd-workflow-participant-form,,21,Update a workflow step participant record. ,
rid-del-workflow-participant-form,Delete Workflow Instance Step to User Link,Contr-Workflow,Controller,FORM,rid-del-workflow-participant-form,,22,Delete a workflow instance step to person link record.,
files-by-people-list-field-name-form,Files By People List General Field Name,ReaderFiles,Controller,FORM,files-by-people-list-field-name-form,,,List files for a people list related general field name.  A filter group is applied.,
files-by-people-list-form,Files By People List,ReaderFiles,Controller,FORM,files-by-people-list-form,,,Return metadata for files which are linked to a given people list.,
AllFileContentSearch,All Files Content Search,ContentSearch,Controller;Editor;Reader;Reviewer,FORM,all-file-contains-search,,1,File content search using CONTAIN query.  Unfiltered list.  No filter group is applied.  Search 'TSQL CONTAINS' for more information.,
AllFileContentTableSearch,All Files Content Search - Ordered Table,ContentSearch,Controller;Editor;Reader;Reviewer,FORM,all-file-contains-table-search,,2,File content search using CONTAINSTABLE query.  Unfiltered list.  No filter group is applied.  Search 'TSQL CONTAINSTABLE' for more information.,
AllFileFreeTextSearch,All Files Content Free Text Search,ContentSearch,Controller;Editor;Reader;Reviewer,FORM,all-file-freetext-search,,3,File content search using FREETEXT query.  Unfiltered list.  No filter group is applied.  Search 'TSQL FREETEXT' for more information.,
AllFileFreeTextTableSearch,All Files Content Free Text Search - Ordered Table,ContentSearch,Controller;Editor;Reader;Reviewer,FORM,all-file-freetext-table-search,,4,File content search using FREETEXTABLE query.  Unfiltered list.  No filter group is applied.  Search 'TSQL FREETEXTTABLE' for more information.,
EditingMenu,Editor,AdvancedMenu,Editor,,,,8,Editor menu,
Contr-File-EditFileData,Edit File Metadata,Contr-Files-Edit,Editor,FORM,form-edit-file-data,,1,Edit metadata for a given file. ,
FilterGroups5,List all Filter Groups,EditingFilterGroup,Editor,READ,all-filter-groups,,1,Select all filter groups,
FilterGroupAttributes5,Filter Group Attributes,EditingFilterGroup,Editor,FORM,all-filter-group-attr-form,,2,Select all the attributes linked to a given filter group id.,
Editor-Docs,Documents,EditingMenu,Editor,,,,1,,
Editor-Files,Files,EditingMenu,Editor,,,,2,,
Editor-Tags,Tags,EditingMenu,Editor,,,,3,Manage Tags,
Editor-Workflow,Workflow,EditingMenu,Editor,,,,4,,
CreatePersonalPeopleList,Create Personal List,EditingMenu,Editor,DUC,rid-ins-personal-people-list,,,Creates a personal people list.  This permits the user to link documents and files to a people list.,
EditingFilterGroup,Filter Groups,EditingMenu,Editor,,,,,,
CreateDocId-6,Create Doc to Doc Group Link for Connected User,Editor-Docs,Editor,FORM,rid-ins-doc-group-link-restr-form,,1,Create a document to document group link. Only for documents and document groups for which the connected user has rights to.,
Editor-Docs-Edit,Edit,Editor-Docs,Editor,,,,1,Edit Documents Metadtaa,
Editor-Docs-Search,Search,Editor-Docs,Editor,,,,2,Search Documents,
Editor-Docs-TGS,Transaction Groups By String,Editor-Docs,Editor,FORM,tr-group-contains-form,,,List transaction groups by string.,
EditDocumentData-12,Edit Document Data,Editor-Docs-Edit,Editor,FORM,form-edit-document-data,,2,Edit the metadata for a selected document ID.,
CreateDoc-2,Create & Edit Document,Editor-Docs-Edit,Editor,CHAIN,new-document,,3,Create a document and then open the metadata edit form,
all-docs-with-ed-perm-form-11,Metadata Editable Docs for User,Editor-Docs-Edit,Editor,FORM,all-docs-with-ed-perm-form,,4,List the metadata for all of the documents for which the connected user has edit permission.,
Editor-Docs-Edit-Create,Create,Editor-Docs-Edit,Editor,,,,5,Create document metadata,
Editor-Docs-Edit-Update,Update,Editor-Docs-Edit,Editor,,,,6,Update document metadata,
Editor-Docs-Edit-Delete,Delete,Editor-Docs-Edit,Editor,,,,7,Delete document metadata,
rid-ins-document-id-restr-form-2,Create Doc ID With Doc Group for Connected User,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-document-id-restr-form,,1,Create a new document ID record. The document group name is mandatory and must be a document group for which the user already has edit permission.,
rid-ins-doc-date-value-form,Create Doc Date Value,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-date-value-form,,4,Create a document date value.,
rid-ins-doc-function-link-form-2,Create Doc to Duty Function Link,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-function-link-form,,7,Create a document to duty function record.,
rid-ins-doc-funct-list-link-form,Create Doc to Duty Function List Link,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-funct-list-link-form,,10,Create a document to duty function list record.,
rid-ins-doc-group-link-restr-form-2,Create Doc to Doc Group Link for Connected User,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-group-link-restr-form,,13,Create a document to document group link. Only for documents and document groups for which the connected user has rights to.,
rid-ins-doc-int-value-form-2,Create Doc Integer Value,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-int-value-form,,16,Create a document integer field value.,
rid-ins-doc-multi-select-link-form-2,Create Doc to Multi-Select List Attribute Link,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-multi-select-link-form,,19,Create a link record for a document to multi-select list attribute.,
rid-ins-doc-people-list-link-form-2,Create Document to People List Link,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-people-list-link-form,,22,Create a document to people list record.,
rid-ins-doc-radiob-link-form-2,Create Doc Radio Button Attribute Link,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-radiob-link-form,,24,Create a document radio button link.,
rid-ins-doc-real-value-form-1,Create Doc Real Number Value,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-real-value-form,,27,Create a document real number value.,
rid-ins-doc-tag-form-3,Create Document Tag,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-tag-form,,30,Create a new document tag. ,
rid-ins-doc-text-value-form-2,Create Doc Text Value,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-text-value-form,,33,Create a document text value.,
rid-ins-doc-to-com-obj-ms-link-form,Create Doc to Common Object Link via Multi-Select List,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-to-com-obj-ms-link-form,,36,Create a document to common object link via a multi-select list.,
rid-ins-doc-to-com-obj-rb-link-form,Create Doc to Common Object Link via Radio Button List,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-to-com-obj-rb-link-form,,39,Create a document to common object link via a radio button list.,
rid-ins-doc-xref-form-4,Create Document Cross Reference Link,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-doc-xref-form,,47,Create a document cross reference link. ,
rid-ins-file-doc-link-form-5,Create Doc to File Link,Editor-Docs-Edit-Create,Editor,FORM,rid-ins-file-doc-link-form,,50,Create a file-document link.,
rid-del-document-id-form,Delete Document ID,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-document-id-form,,3,Delete a document ID.,
rid-del-doc-date-value-form,Delete Doc to Date Field Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-date-value-form,,6,Delete a document to date field name link.,
rid-del-doc-to-function-link-form-2,Delete Doc to Duty Function Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-to-function-link-form,,8,Delete a document to duty function record.,
rid-del-doc-funct-list-link-form-2,Delete Doc to Duty Function List Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-funct-list-link-form,,9,Delete a document to duty function list record.,
rid-del-doc-group-link-restr-form,Delete Doc to Doc Group Link for Connected User,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-group-link-restr-form,,15,Delete a document to document group record. Only applies to documents and document groups for which the user has rights.,
rid-del-doc-int-value-form-2,Delete Doc to Integer Field Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-int-value-form,,18,Delete a document to integer field link.,
rid-del-doc-multi-select-link-form-2,Delete Doc Multi-Select Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-multi-select-link-form,,21,Delete a document multi-select link record.,
rid-del-doc-people-list-link-form-4,Delete Document to People List Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-people-list-link-form,,23,Delete a document to people list record.,
rid-del-doc-radiob-link-form-1,Delete Doc Radio Button Attribute Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-radiob-link-form,,26,Delete a document radio button link.,
rid-del-doc-real-value-form-2,Delete Doc Real Number Field Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-real-value-form,,29,Delete a document to real number field link.,
rid-del-doc-tag-form-5,Delete Document Tag,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-tag-form,,32,Delete a document tag.,
rid-del-doc-text-value-form-2,Delete Doc to Text Field Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-text-value-form,,35,Delete a document to text field name link.,
rid-del-doc-to-com-obj-ms-link-form,Delete Doc to Common Object Link via Multi-Select List,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-to-com-obj-ms-link-form,,38,Delete a document to common object link via a multi-select list.,
rid-del-doc-to-com-obj-rb-link-form-1,Delete Doc to Common Object Link via Radio Button List,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-to-com-obj-rb-link-form,,42,Delete a document to common object link via a radio button list.,
rid-del-doc-xref-form-2,Delete Document Cross Reference Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-doc-xref-form,,49,Delete a document cross reference link. ,
rid-del-file-doc-link-form-1,Delete Doc to File Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-file-doc-link-form,,52,Delete a file-document link.,
rid-ins-tag-doc-link-form-5,Create Tag to Document Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-ins-tag-doc-link-form,,53,Create a new tag to document link. Authenticates for both controller and editor.,
rid-del-tag-doc-link-form-2,Delete Tag to Document Link,Editor-Docs-Edit-Delete,Editor,FORM,rid-del-tag-doc-link-form,,55,Delete a tag to document link. ,
rid-upd-document-id-form,Update Document ID,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-document-id-form,,2,Update a document ID.,
rid-upd-doc-grp-lnk-notes-rstr-form-2,Update Doc to Doc Group Link Notes,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-grp-lnk-notes-rstr-form,,14,Update the notes for a document to document group link.,
rid-upd-doc-int-value-form-2,Update Doc Integer Field Value,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-int-value-form,,17,Update a document integer field value.,
rid-upd-doc-multi-select-link-form-2,Update Doc to Multi-Select Attribute Link,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-multi-select-link-form,,20,Update a document multi-select link record.,
rid-upd-doc-radiob-link-form-2,Update Doc Radio Button Attribute Link,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-radiob-link-form,,25,Update a document radio button link.,
rid-upd-doc-real-value-form-2,Update Doc Real Number Value,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-real-value-form,,28,Update a document real number value.,
rid-upd-doc-text-value-form-2,Update Doc Text Value,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-text-value-form,,34,Update a document text value.,
rid-upd-doc-to-com-obj-ms-link-form,Update Doc to Multi-Select Common Object Link,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-to-com-obj-ms-link-form,,37,Update a document to mutli-select common object link.,
rid-upd-doc-to-com-obj-rb-link-form,Update Doc to Radio Button Common Object Link,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-to-com-obj-rb-link-form,,43,Update a document to radio button common object link.,
rid-upd-doc-xref-text-form-2,Update Document Cross Reference Link Notes,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-xref-text-form,,48,Update the notes for a document cross reference link.,
rid-del-doc-transaction-group-form,Update Doc Transaction Group,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-transaction-group-form,,56,Update a document transaction group. Is permitted when document ID is locked.,
rid-upd-doc-date-value-form,Update Doc Date Value,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-date-value-form,,57,Update a document date field value.,
rid-upd-doc-transaction-group-form-2,Update Document Transaction Group,Editor-Docs-Edit-Update,Editor,FORM,rid-upd-doc-transaction-group-form,,58,Update a document transaction group. Is permitted when document ID is locked.,
all-user-booking-ids,List Booking Transactions,Editor-Docs-Search,Editor,READ,all-user-booking-ids,,8,List all booking transactions for the connected user.,
all-files-for-one-doc-form-2,All Files for Document,Editor-Docs-Search,Editor,FORM,all-files-for-one-doc-form,,1,List file metdata of all the files linked to the document id.,
all-docs-with-ed-perm-form-9,Metadata Editable Docs for User,Editor-Docs-Search,Editor,FORM,all-docs-with-ed-perm-form,,2,List the metadata for all of the documents for which the connected user has edit permission.,
AllDocsWithEditPerm-2,All Documents With Edit Permission,Editor-Docs-Search,Editor,READ,all-docs-with-ed-perm,,2,List the metadata for all of the documents for which the connected user has edit permission.,
recent-documents-form-2,Recently Created Documents,Editor-Docs-Search,Editor,READ,recent-documents,,2,Recent Documents,
all-docs-by-br-tr-node-form-EM,Docs By Tag Browsing Tree Node -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-br-tr-node-form,,4,Select all of the documents via selection of a browsing tree node.,
all-docs-by-co-ms-attr-form-EM,All Docs for Common Object Multi-Select Attribute,Editor-Docs-Search,Editor,FORM,all-docs-by-co-ms-attr-form,,6,List all the metadata for documents for a given common object multi-select attribute.,
all-docs-by-co-rb-attr-form-EM,Docs for Common Object Radio Button Attribute,Editor-Docs-Search,Editor,FORM,all-docs-by-co-rb-attr-form,,8,List all the metadata for documents for a given common object radio button attribute. Does not list associated files and does not apply a filter group.,
all-docs-by-dty-funct-form-EM,Docs By Duty Function -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-dty-funct-form,,10,Select metadata for documents linked to a given duty function.  No filter group is applied.,
all-docs-by-file-form-EM,Documents for File -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-file-form,,12,Select all documents associated with a specific file.,
all-docs-by-fnct-list-name-form-EM,Docs By Function List General Field Name -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-fnct-list-name-form,,14,List documents for a duty function list related general field name.  No filter group is applied.,
all-docs-by-funct-fld-name-form-EM,Docs By Duty Function General Field Name -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-funct-fld-name-form,,16,List documents for a duty function related general field name.  No filter group is applied.,
all-docs-by-funct-lst-form-EM,Docs By Function List -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-funct-lst-form,,18,Select metadata for documents linked to a given function list.,
all-docs-by-people-lst-form-EM,Docs By People List -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-people-lst-form,,20,Select metadata for documents linked to a given people list.,
all-docs-by-ppl-list-name-form-EM,Docs By People List General Field Name -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-ppl-list-name-form,,22,List documents for a people list related general field name.  No filter group is applied.,
all-docs-by-radio-btn-form-EM,Docs By Radio Button Attribute -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-radio-btn-form,,24,Select all of the documents for a given document radio button attribute.,
all-docs-by-tag-form-EM,Docs By Tag -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-tag-form,,26,Return document data linked to a given tag.,
all-docs-by-text-field-form-EM,Docs By Text Field -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-by-text-field-form,,28,Select a list of documents for a given text string and free text field ID.,
all-docs-date-after-form-EM,Docs Date After -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-date-after-form,,30,Return metadata for documents and associated files where a date record is after a given date.  Does not apply a filter group.,
all-docs-date-before-form-EM,Docs Date Before -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-date-before-form,,32,Return metadata for documents and associated files where a date record is before a given date. Does not apply a filter group.,
all-docs-date-between-form-EM,Docs Date Between -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-date-between-form,,34,Return metadata for documents and associated files where a date record is between given dates.,
all-docs-date-equals-form-EM,Docs Date Equals -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-date-equals-form,,36,Return metadata for documents and associated files where a date record is equal to a given date.,
all-docs-int-between-form-EM,Docs Integer Between -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-int-between-form,,38,Return metadata for documents and associated files where the designated integer field is between two given values.,
all-docs-int-equals-form-EM,Docs Integer Equals -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-int-equals-form,,40,Return metadata for documents and associated files where the designated integer field is equal to the given value.,
all-docs-int-grtr-than-form-EM,Docs Integer Greater -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-int-grtr-than-form,,43,Return metadata for documents and associated files where the designated integer field is greater than the given value.,
all-docs-int-less-than-form-EM,Docs Integer Less Than -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-int-less-than-form,,44,Return metadata for documents and associated files where the designated integer field is less than the given value.,
all-docs-multi-sel-atr-form-EM,Docs By Multi-Select Attribute -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-multi-sel-atr-form,,46,Select metadata for documents linked to a given mulit-select attribute.,
all-docs-real-between-form-EM,Docs Real Number Between -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-real-between-form,,48,Return metadata for documents and associated files where a real number field is between two given values.,
all-docs-real-equals-form-EM,Docs Real Number Equals -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-real-equals-form,,50,Return metadata for documents and associated files where the designated real number field is equal to the given value.,
all-docs-real-greater-form-13,Docs Real Number Greater Than -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-real-greater-form,,52,Return metadata for documents and associated files where the designated real number field is greater than the given value.,
all-docs-real-less-form-5,Docs Real Number Less Than -- Unfiltered,Editor-Docs-Search,Editor,FORM,all-docs-real-less-form,,54,Return metadata for documents and associated files where the designated real number field is less than the given value.,
all-documents-form-1,All Documents,Editor-Docs-Search,Editor,CHAIN,list-all-docs,,100,List all documents,
Editor-Files-Search,Search,Editor-Files,Editor,,,,1,Search Files,
Editor-Files-Edit,Edit File Metadata,Editor-Files,Editor,,,,2,Edit Files Metadata,
editor-files-upload,Upload,Editor-Files,Editor,,,,,,
all-files-with-ed-perm-form-11,List Metadata-Editable Files for User,Editor-Files-Edit,Editor,FORM,all-files-with-ed-perm-form,,3,List the metadata for all of the files for which the connected user has edit permission.,
Editor-Files-Edit-Create,Create,Editor-Files-Edit,Editor,,,,4,Create file metadata,
Editor-Files-Edit-Update,Update,Editor-Files-Edit,Editor,,,,5,Update file metadata,
Editor-Files-Edit-Delete,Delete,Editor-Files-Edit,Editor,,,,6,Delete file metadata,
Editor-Filed-EditFileData,Edit File Metadata,Editor-Files-Edit,Editor,FORM,form-edit-file-data,,1,Edit metadata for a given file. ,
rid-ins-file-date-value-form-2,Create File Date Value,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-date-value-form,,2,Create a file date value.,
rid-ins-file-doc-link-form-4,Create File to Doc Link,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-doc-link-form,,4,Create a file-document link.,
rid-ins-file-function-link-form-6,Create File to Duty Function Link,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-function-link-form,,7,Create a file to duty function link record.,
rid-ins-file-funct-list-link-form-1,Create File to Duty Function List Link,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-funct-list-link-form,,10,Create a file to duty function list link record.,
rid-ins-file-group-link-form-2,Create File to File Group Link,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-group-link-form,,13,Create a record to link a file to a file group.,
rid-ins-file-int-value-form-2,Create File Integer Field Value,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-int-value-form,,16,Create a file integer field value.,
rid-ins-file-multi-select-link-form-1,Create File to Multi-Select Attribute Link,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-multi-select-link-form,,19,Create a file to multi-select attribute link.,
rid-ins-file-people-list-link-form-2,Create File to People List Link,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-people-list-link-form,,22,Create a file to duty people list link record.,
rid-ins-file-radiob-link-form-2,Create File to File Radio Button Attribute Link,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-radiob-link-form,,25,Create a link between a file and a file radio button list and attribute.,
rid-ins-file-real-value-form-2,Create File Real Number Value,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-real-value-form,,28,Create a file real number value.,
rid-ins-file-text-value-form-2,Create File Text Field Value,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-text-value-form,,31,Create a file text field string.,
rid-ins-file-to-com-obj-ms-lnk-form-4,Create File to Common Object Link via Multi-Select List,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-to-com-obj-ms-lnk-form,,35,Create a file to common object link via a multi-select list.,
rid-ins-file-to-com-obj-radiob-lnk-form-6,Create File to Common Object Link via Radio Button List,Editor-Files-Edit-Create,Editor,FORM,rid-ins-file-to-com-obj-radiob-lnk-form,,38,Create a file to common object link via a radio button list.,
rid-del-file-form-2,Delete File,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-form,,1,Delete a file.,
rid-del-file-date-value-form-2,Delete File to Date Field Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-date-value-form,,3,Delete a file to date field link.,
rid-del-file-doc-link-form,Delete File to Doc Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-doc-link-form,,6,Delete a file-document link.,
rid-del-file-to-function-link-form,Delete File to Duty Function Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-to-function-link-form,,8,Delete a file to duty function record.,
rid-del-file-funct-list-link-form-4,Delete File to Duty Function List Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-funct-list-link-form,,9,Delete a file to duty function list record.,
rid-del-file-group-link-form-2,Delete File to File Group Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-group-link-form,,15,Delete a file to file group link record.,
rid-del-file-int-value-form,Delete File to Integer Field Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-int-value-form,,18,Delete a file to integer field link.,
rid-del-file-multi-select-link-form-2,Delete File to Multi-Select Attribute Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-multi-select-link-form,,21,Delete a file to multi-select attribute link.,
rid-del-file-people-list-link-form-4,Delete File to People List Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-people-list-link-form,,24,Delete a file to people list record.,
rid-del-file-radiob-link-form-2,Delete File to File Radio Button Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-radiob-link-form,,27,Delete a link between a file and a file radio button list and attribute.,
rid-del-file-real-value-form-2,Delete File Real Number Value,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-real-value-form,,30,Delete a file real number value.,
rid-del-file-text-value-form-2,Delete File to Text Field Link,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-text-value-form,,34,Delete a file to text field link.,
rid-del-file-to-cm-obj-ms-link-form-4,Delete File to Common Object Link via Multi-Select List,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-to-cm-obj-ms-link-form,,37,Delete a file to common object link via a multi-select list.,
rid-del-file-to-com-obj-rb-link-form-6,Delete File to Common Object Link via Radio Button List,Editor-Files-Edit-Delete,Editor,FORM,rid-del-file-to-com-obj-rb-link-form,,40,Delete a file to common object link via a radio button list.,
rid-upd-file-date-value-form-2,Update File Date Value,Editor-Files-Edit-Update,Editor,FORM,rid-upd-file-date-value-form,,,Update the date value for a file date field.,
rid-upd-file-doc-link-form-4,Update File to Document Link,Editor-Files-Edit-Update,Editor,FORM,rid-upd-file-doc-link-form,,,Update a file to document link.,
rid-upd-file-group-link-form-1,Update File to File Group Link Notes,Editor-Files-Edit-Update,Editor,FORM,rid-upd-file-group-link-form,,,Update the notes column of a file to file group link record.,
