CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
rid-del-tag-br-tr-perm-plist-form,Revoke Tag Browsing Tree People List Edit Permission,Controller,FORM,rid-del-tag-br-tr-perm-plist-form,,Delete a tag browsing tree to people list record to revoke authorization to edit a tag browsing tree.,,Delete,Tag Browsing Trees,TagBrowsingTrees;PeopleList;Tags,
rid-del-tag-doc-link-form,Delete Tag To Document Link,Controller;Editor,FORM,rid-del-tag-doc-link-form,,Delete a tag to document link. ,,Delete,Documents,Tags,
rid-del-tag-group-id-name-form,Delete Tag Group,Controller,FORM,rid-del-tag-group-id-name-form,,Delete a tag group identifier name record.,,Delete,,TagGroups;Tags,
rid-del-tag-group-link-form,Delete Tag To Tag Group Link,Controller;Editor,FORM,rid-del-tag-group-link-form,,Delete a tag to tag group link. ,,Delete,,TagGroups;Tags,
rid-del-tag-group-perm-flist-form,Revoke Tag Group Function List Authorization,Controller,FORM,rid-del-tag-group-perm-flist-form,,Delete a tag group to function list record to revoke authorization to link tags to a tag group.,,Delete,,TagGroups;Tags,
rid-del-tag-group-perm-plist-form,Revoke Tag Linking Authorization for People List,Controller,FORM,rid-del-tag-group-perm-plist-form,,Delete a tag group to people list record to revoke authorization to link tags to a tag group.,,Delete,,PeopleList;TagGroups;Tags,
rid-del-tag-tree-branch-form,Delete Tag Relationship Tree Branch,Controller;Editor,FORM,rid-del-tag-tree-branch-form,,Delete a branch of a tag relationship tree including all descendants of the given node.,,Delete,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-del-tag-tree-form,Delete Tag Relationship Tree,Controller,FORM,rid-del-tag-tree-form,,Delete a tag relationship tree,,Delete,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-del-tag-tree-node-form,Delete Tag Relationship Tree Node,Controller,FORM,rid-del-tag-tree-node-form,,Delete a tag relationship tree node.,,Delete,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-del-tag-tree-perm-flist-form,Revoke Tag Relationship Tree Edit Authorization for Function List,Controller,FORM,rid-del-tag-tree-perm-flist-form,,Delete a tag relationship tree to function list record to revoke authorization to edit a tag tree.,,Delete;Revoke,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-del-transaction-group-form,Delete Transaction Group,Controller,FORM,rid-del-transaction-group-form,,Delete a transaction group.,,Delete,,Transaction Groups,
rid-del-unit-of-measure-form,Delete Unit of Measure,Configurator,FORM,rid-del-unit-of-measure-form,,Delete a unit of measure record.,,Delete,,Unit of Measure,
rid-del-user-role-form,Revoke User Role,Authorizer,FORM,rid-del-user-role-form,,Revoke a user role.,,Delete,Users,Role,
rid-del-wf-funct-output-file-form,Delete File To Workflow Output Step for Function,Controller;Editor,FORM,rid-del-wf-funct-output-file-form,,Delete a workflow function output file record. ,,Delete,Files;Workflow,DutyFunctionField;Workflow Output,
rid-del-wf-input-step-file-form,Delete File To Workflow Input Step Link,Controller;Editor,FORM,rid-del-wf-input-step-file-form,,Delete a file to input step ID link.,,Delete,Files;Workflow,Workflow Input,
rid-del-wf-people-output-file-form,Delete File To Workflow Output Step for Person,Controller;Editor,FORM,rid-del-wf-people-output-file-form,,Delete a workflow person output file record. ,,Delete,Files;Workflow,DutyFunctionField;Workflow Output,
rid-del-wf-step-duty-funct-form,Delete Workflow Instance Step To Duty Function Link,Controller,FORM,rid-del-wf-step-duty-funct-form,,Delete a workflow instance step to duty function record.,,Delete,Workflow,DutyFunctionField;Workflow Instance,
rid-del-wf-step-status-defn-form,Delete Workflow Step Status Definition,Configurator,FORM,rid-del-wf-step-status-defn-form,,Delete a workflow step status definition record.,,Delete,Workflow,WorkflowStepStatus,
rid-del-workflow-action-form,Delete Workflow Action,Configurator,FORM,rid-del-workflow-action-form,,Delete a workflow action record.,,Delete,Workflow,WorkflowActions,
rid-del-workflow-instance-def-form,Delete Workflow Instance,Controller,FORM,rid-del-workflow-instance-def-form,,Delete a workflow instance defintion record. ,,Delete,Workflow,Workflow Instance,
rid-del-workflow-instance-step-form,Delete Workflow Instance Step,Controller,FORM,rid-del-workflow-instance-step-form,,Delete a workflow instance step.,,Delete,Workflow,Workflow Instance,
rid-del-workflow-model-form,Delete Workflow Model,Configurator,FORM,rid-del-workflow-model-form,,Delete a workflow model record.,,Delete,Workflow,WorkflowModels,
rid-del-workflow-output-def-form,Delete Workflow Output Definition,Configurator,FORM,rid-del-workflow-output-def-form,,Delete a workflow output definition record.,,Delete,Workflow,Workflow Output,
rid-del-workflow-participant-form,Delete Workflow Instance Step To User Link,Controller,FORM,rid-del-workflow-participant-form,,Delete a workflow instance step to person link record.,,Delete,Workflow;Users,Workflow Instance,
rid-del-workflow-rule-form,Delete Workflow Rule,Configurator,FORM,rid-del-workflow-rule-form,,Delete a workflow rule.,,Delete,Workflow,WorkflowRule,
rid-del-workflow-rule-link-form,Delete Workflow Rule To Workflow Step Link,Configurator,FORM,rid-del-workflow-rule-link-form,,Delete a workflow rule to a workflow step link.,,Delete,Workflow,WorkflowRule,
rid-del-workflow-step-def-form,Delete Workflow Step Definition,Configurator,FORM,rid-del-workflow-step-def-form,,Delete a workflow step definition.,,Delete,Workflow,WorkflowStepStatus,
rid-del-workflow-step-transn-form,Delete Workflow Model Step Transition,Configurator,FORM,rid-del-workflow-step-transn-form,,Delete a record for a workflow model step transition ID.,,Delete,Workflow,WorkflowModels,
rid-del-xref-type-form,Delete Cross Reference Type,Configurator,FORM,rid-del-xref-type-form,,Delete a cross-reference type.,,Delete,,CrossReference;Cross Reference,
rid-doc-group-perm-people-notes-update-form,Update Doc Group and People List Link Notes,Controller,FORM,rid-doc-group-perm-people-notes-update-form,,Update note for a specific document group and people list ID in the database,,Update;Change;Revise,Documents,DocumentGroups;PeopleList,
rid-form-file-free-text-link-update-form,Update Form To File Free Text Field Link,Configurator;Controller,FORM,rid-form-file-free-text-link-update-form,,Update a link between a form and a file free text field.,,Update;Change;Revise,Files,FileFreeTextField,
rid-ins-book-in-file-form-command,Book In Files To a Document,Editor;Controller,FORM,rid-ins-book-in-file-form,,Link addition files to a document book in transaction.,,Book;Check In,Booking;Documents;Files,Booking,30
rid-ins-book-in-form-command,Book a Document In,Editor;Controller,FORM,rid-ins-book-in-form,,Book a document in.,,Book;Check In,Booking;Documents;Files,Booking,40
rid-ins-book-out-form-command,Book a Document Out,Editor;Controller,FORM,rid-ins-book-out-form,,Book a document out. ,,Book;Check Out,Booking;Document,Booking,50
rid-ins-common-object-form,Create Common Object,Controller,FORM,rid-ins-common-object-form,,Create a common object record.,,Create;Insert,,CommonObjectListName,
rid-ins-common-object-lst-item-form,Create Common Object List Item,Controller,FORM,rid-ins-common-object-lst-item-form,,Create a common object list item record.,,Create;Insert,,CommonObjectListName,
rid-ins-com-obj-attribute-form,Create Common Object Attribute,Configurator,FORM,rid-ins-com-obj-attribute-form,,Create a common object attribute record.,,Create;Insert,,CommonObjectAttributes,
rid-ins-com-obj-list-name-form,Create Common Object List,Configurator,FORM,rid-ins-com-obj-list-name-form,,Create a common object list record.,,Create;Insert,,CommonObjectListName,
rid-ins-contr-doc-group-link-form,Create Doc To Controller Doc Group Link,Controller,FORM,rid-ins-contr-doc-group-link-form,,Link a document to a controller level document group.,,Link,Documents,DocumentGroups,
rid-ins-contr-doc-group-name-form,Create Controller Document Group,Authorizer,FORM,rid-ins-contr-doc-group-name-form,,Create a new controller document group name. ,,Create;Insert,Documents,Controller Document Group,
rid-ins-contr-file-group-link-form,Create File To Controller File Group Link,Controller,FORM,rid-ins-contr-file-group-link-form,,Link a file to a controller level file group.,,Link,Files,Controller File Group,
rid-ins-contr-file-group-name-form,Create Controller File Group,Authorizer,FORM,rid-ins-contr-file-group-name-form,,Create a new controller file group name. ,,Create;Insert,Files,Controller File Group,
rid-ins-doc-date-field-name-form,Create Document Date Field,Configurator,FORM,rid-ins-doc-date-field-name-form,,Create a new document date field name record.,,Create;Insert,Documents,DocDateField,
rid-ins-doc-date-value-form,Create Doc Date Value,Editor,FORM,rid-ins-doc-date-value-form,,Create a document date value.,,Create;Insert,Documents,DocDateField,
rid-ins-doc-function-link-form,Create Doc To Duty Function Link,Controller;Editor,FORM,rid-ins-doc-function-link-form,,Create a document to duty function record.,,Create;Insert,Documents,DutyFunctionField,
rid-ins-doc-funct-list-link-form,Create Doc To Duty Function List Link,Controller;Editor,FORM,rid-ins-doc-funct-list-link-form,,Create a document to duty function list record.,,Create;Insert,Documents,DutyFunctionField,
rid-ins-doc-gp-ed-perm-funct-form,Create a Doc Group Edit Permission To Function List Link,Controller,FORM,rid-ins-doc-gp-ed-perm-funct-form,,Create a document group edit permission to function list record.,,Create;Insert,Documents,DocumentGroups,
rid-ins-doc-gp-ed-perm-people-form,Create Doc Group To Edit Permission People List Link,Controller,FORM,rid-ins-doc-gp-ed-perm-people-form,,Create a document group to edit permission people list link record.,,Create;Insert,Documents,DocumentGroups;PeopleList,
rid-ins-doc-group-link-restr-form,Create Doc To Doc Group Link for Connected User,Controller;Editor,FORM,rid-ins-doc-group-link-restr-form,,Create a document to document group link. Only for document and document group for which the connected user has right to.,,Create;Insert,Documents,DocumentGroups,
rid-ins-doc-group-name-form,Create Document Group,Configurator;Controller,FORM,rid-ins-doc-group-name-form,,Create a new document group name.,,Create;Insert,Documents,DocumentGroups,
rid-ins-doc-int-field-name-form,Create Document Integer Field,Configurator,FORM,rid-ins-doc-int-field-name-form,,Create a document integer field name.,,Create;Insert,Documents,DocIntegerField,
rid-ins-doc-int-value-form,Create Doc Integer Value,Controller;Editor,FORM,rid-ins-doc-int-value-form,,Create a document integer field value.,,Create;Insert,Documents,DocIntegerField,
rid-ins-doc-ms-attr-fg-link-form,Create Doc Multi-Select Attribute To Filter Group,Configurator,FORM,rid-ins-doc-ms-attr-fg-link-form,,Create a document multi-select attribute ID to filter group ID link.,,Create;Insert,Documents,DocMultiSelectList;FilterGroups,
rid-ins-doc-ms-attribute-form,Create Document Multi-Select Attribute,Configurator,FORM,rid-ins-doc-ms-attribute-form,,Create a document multi-select attribute.,,Create;Insert,Documents,DocMultiSelectList,
rid-ins-doc-multi-select-link-form,Create Doc To Multi-Select List Attribute Link,Controller;Editor,FORM,rid-ins-doc-multi-select-link-form,,Create a link record for a document to multi-select list attribute.,,Create;Insert,Documents,DocMultiSelectList,
rid-ins-doc-multi-select-list-form,Create Document Multi-Select List,Configurator,FORM,rid-ins-doc-multi-select-list-form,,Create a new document multi-select list name record.,,Create;Insert,Documents,DocMultiSelectList,
rid-ins-doc-people-list-link-form,Create Document To People List Link,Controller;Editor,FORM,rid-ins-doc-people-list-link-form,,Create a document to people list record.,,Create;Insert,Documents,PeopleList,
rid-ins-doc-radiob-attr-form,Create Document Radio Button Attribute,Configurator,FORM,rid-ins-doc-radiob-attr-form,,Create a document radio button attribute.,,Create;Insert,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-ins-doc-radiob-link-form,Create Doc Radio Button Attribute Link,Controller;Editor,FORM,rid-ins-doc-radiob-link-form,,Create a document radio button link.,,Create;Insert,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-ins-doc-rb-attr-fg-link-form,Create Doc Radio Button Attribute To Filter Group Link,Configurator,FORM,rid-ins-doc-rb-attr-fg-link-form,,Create a document radio button attribute ID to filter group ID link.,,Create;Insert,Documents,DocRadioButtonList;FilterGroups,
rid-ins-doc-real-field-name-form,Create Document Real Number Field,Configurator,FORM,rid-ins-doc-real-field-name-form,,Create a document real number field name.,,Create;Insert,Documents,DocRealNumberField,
rid-ins-doc-real-value-form,Create Doc Real Number Value,Controller;Editor,FORM,rid-ins-doc-real-value-form,,Create a document real number value.,,Create;Insert,Documents,DocRealNumberField,
rid-ins-doc-tag-form,Create Document Tag,Controller;Editor,FORM,rid-ins-doc-tag-form,,Create a new document tag. ,,Create;Insert,Documents,Tags,80
rid-ins-doc-text-field-name-form,Create Document Free Text Field,Configurator,FORM,rid-ins-doc-text-field-name-form,,Create a document free text field name.,,Create;Insert,Documents,DocFreeTextField,
rid-ins-doc-text-value-form,Create Doc Text Value,Controller;Editor,FORM,rid-ins-doc-text-value-form,,Create a document text value.,,Create;Insert,Documents,DocFreeTextField,
rid-ins-doc-to-com-obj-ms-link-form,Create Doc To Common Object Link via Multi-Select List,Editor,FORM,rid-ins-doc-to-com-obj-ms-link-form,,Create a document to common object link via a multi-select list.,,Create;Insert,Documents,CommonObjectListName,
rid-ins-doc-to-com-obj-rb-link-form,Create Doc To Common Object Link via Radio Button List,Editor,FORM,rid-ins-doc-to-com-obj-rb-link-form,,Create a document to common object link via a radio button list.,,Create;Insert,Documents,CommonObjectListName,
rid-ins-document-id-restr-form,Create Document ID (Editor Role),Controller;Editor,FORM,rid-ins-document-id-restr-form,,Create a new document ID record. The document group name is mandatory and must be a document group for which the user already has edit permission.,,Create;Insert,Documents,DocumentGroups,50
rid-ins-doc-user-link-form,Insert Document To User Link,Editor;Controller,FORM,rid-ins-doc-user-link-form,,Create a document to user link record.,,Create;Insert,Documents;Users,GeneralFieldName,
rid-ins-doc-xref-form,Create Document Cross Reference Link,Controller;Editor,FORM,rid-ins-doc-xref-form,,Create a document cross reference link. ,,Create;Insert,Documents,CrossReference,
rid-ins-duty-function-form,Create Duty Function,Controller,FORM,rid-ins-duty-function-form,,Create a new duty function.,,Create;Insert,,DutyFunctionField,
rid-ins-duty-function-sid-link-form,Create Duty Function To User Link,Controller,FORM,rid-ins-duty-function-sid-link-form,,Create a new record to link a duty function with a user record.,,Create;Insert,,DutyFunctionField,
rid-ins-file-binary-input-form,Upload Files,Controller;Editor;Reviewer,CUSTOM,upload-files,,Upload one or more files.,,Upload;Insert,Files,,
rid-ins-file-binary-input-form-and-edit,Upload File and Edit,Controller;Editor;Reviewer,CHAIN,upload-files-plusdata-plusedit,,Upload a file and edit the data.,,Upload;Insert,Files,,
rid-ins-file-binary-input-form-with-data,Upload Files With Data,Controller;Editor;Reviewer,CHAIN,upload-files-with-metadata,,Upload one or more files with associated metatadata.,,Upload;Insert,Files,,
rid-ins-file-date-field-name-form,Create File Date Field,Configurator,FORM,rid-ins-file-date-field-name-form,,Create a new file date field name.,,Create;Insert,Files,FileDateField,
rid-ins-file-date-value-form,Create File Date Value,Controller;Editor,FORM,rid-ins-file-date-value-form,,Create a file date value.,,Create;Insert,Files,FileDateField,
rid-ins-file-doc-link-form,Create File To Doc Link,Controller;Editor,FORM,rid-ins-file-doc-link-form,,Create a file-document link.,,Create;Insert,Documents;Files,,
rid-ins-file-function-link-form,Create File To Duty Function Link,Controller;Editor,FORM,rid-ins-file-function-link-form,,Create a file to duty function link record.,,Create;Insert,Files,DutyFunctionField,
rid-ins-file-funct-list-link-form,Create File To Duty Function List Link,Controller;Editor,FORM,rid-ins-file-funct-list-link-form,,Create a file to duty function list link record.,,Create;Insert,Files,DutyFunctionField,
rid-ins-file-gp-ed-perm-funct-form,Create Edit Permission for User Function List To File Group,Controller,FORM,rid-ins-file-gp-ed-perm-funct-form,,Create a record to grant edit pemission to a user function list to a file group.,,Create;Insert,Files,FileGroups,
rid-ins-file-gp-ed-perm-people-form,Create File Group To People List Link for Edit Permission,Controller,FORM,rid-ins-file-gp-ed-perm-people-form,,Create a record for file group to people list link for file edit permission.,,Create;Insert,Files,FileGroups;PeopleList,
rid-ins-file-group-link-form,Create File To File Group Link,Controller;Editor,FORM,rid-ins-file-group-link-form,,Create a record to link a file to a file group.,,Create;Insert,Files,FileGroups,
rid-ins-file-group-name-form,Create File Group,Controller,FORM,rid-ins-file-group-name-form,,Create a new file group name record.,,Create;Insert,Files,FileGroups,
rid-ins-file-int-field-name-form,Create File Integer Field,Configurator,FORM,rid-ins-file-int-field-name-form,,Create a file integer field name.,,Create;Insert,Files,FileIntegerField,
rid-ins-file-int-value-form,Create File Integer Field Value,Controller;Editor,FORM,rid-ins-file-int-value-form,,Create a file integer field value.,,Create;Insert,Files,FileIntegerField,
rid-ins-file-ms-attr-fg-link-form,Create File Multi-Select Attribute To Filter Group Link,Configurator,FORM,rid-ins-file-ms-attr-fg-link-form,,Create a file multi-select attribute ID to filter group ID link.,,Create;Insert,Files,FileMultiSelectList;FilterGroups,
rid-ins-file-ms-attribute-form,Create File Multi-Select Attribute,Configurator,FORM,rid-ins-file-ms-attribute-form,,Create a new file multi-select attribute record.,,Create;Insert,Files,FileMultiSelectList,
rid-ins-file-multi-select-link-form,Create File To Multi-Select Attribute Link,Controller;Editor,FORM,rid-ins-file-multi-select-link-form,,Create a file to multi-select attribute link.,,Create;Insert,Files,FileMultiSelectList,
rid-ins-file-multi-select-list-form,Create File Multi-Select List,Configurator,FORM,rid-ins-file-multi-select-list-form,,Create a new file multi-select list name record.,,Create;Insert,Files,FileMultiSelectList,
rid-ins-file-people-list-link-form,Create File To People List Link,Controller;Editor,FORM,rid-ins-file-people-list-link-form,,Create a file to duty people list link record.,,Create;Insert,Files,PeopleList,
rid-ins-file-radiob-attr-form,Create File Radio Button Attribute,Configurator,FORM,rid-ins-file-radiob-attr-form,,Create a new file radio button attribute.,,Create;Insert,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-ins-file-radiob-link-form,Create File To File Radio Button Attribute Link,Controller;Editor,FORM,rid-ins-file-radiob-link-form,,Create a link between a file and a file radio button list and attribute.,,Create;Insert,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-ins-file-radiob-list-form,Create File Radio Button List,Configurator,FORM,rid-ins-file-radiob-list-form,,Create a new file radio button list name. ,,Create;Insert,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-ins-file-rb-attr-fg-link-form,Create File Radio Button Attribute To Filter Group Link,Configurator,FORM,rid-ins-file-rb-attr-fg-link-form,,Create a file radio button attribute ID to filter group ID link.,,Create;Insert,Files,FileRadioButtonList;FilterGroups;FileRadioButtonAttribute,
rid-ins-file-real-field-name-form,Create File Real Number Field,Configurator,FORM,rid-ins-file-real-field-name-form,,Create a file real number field name.,,Create;Insert,Files,FileRealNumberField,
rid-ins-file-real-value-form,Create File Real Number Value,Controller;Editor,FORM,rid-ins-file-real-value-form,,Create a file real number value.,,Create;Insert,Files,FileRealNumberField,
rid-ins-file-text-field-name-form,Create File Free Text Field,Configurator,FORM,rid-ins-file-text-field-name-form,,Create a file free-text field name.,,Create;Insert,Files,FileFreeTextField,
rid-ins-file-text-value-form,Create File Text Field Value,Controller;Editor,FORM,rid-ins-file-text-value-form,,Create a file text field string.,,Create;Insert,Files,FileFreeTextField,
rid-ins-file-to-com-obj-ms-lnk-form,Create File To Common Object Link via Multi-Select List,Controller;Editor,FORM,rid-ins-file-to-com-obj-ms-lnk-form,,Create a file to common object link via a multi-select list.,,Create;Insert,Files,CommonObjectListName,
rid-ins-file-to-com-obj-radiob-lnk-form,Create File To Common Object Link via Radio Button List,Controller;Editor,FORM,rid-ins-file-to-com-obj-radiob-lnk-form,,Create a file to common object link via a radio button list.,,Create;Insert,Files,CommonObjectListName,
rid-ins-file-user-link-form,Insert File To User Link,Editor;Controller,FORM,rid-ins-file-user-link-form,,Create a file to user link record.,,Create;Insert,Files;Users,GeneralFieldName,
rid-ins-filter-group-form,Create Filter Group,Configurator,FORM,rid-ins-filter-group-form,,Create a new filter group.,,Create;Insert,,FilterGroups,
rid-ins-fm-dc-c-ob-ms-def-form,Create Form Document Common Object Default,Configurator,FORM,rid-ins-fm-dc-c-ob-ms-def-form,,Create a default record for a form document common object.,,Create;Insert,Documents;Forms,Forms,
rid-ins-fm-dc-c-ob-ms-lnk-form,Create Form To Document Common Object Multi-Select Link,Configurator;Controller,FORM,rid-ins-fm-dc-c-ob-ms-lnk-form,,Create a form to document common object multi-select link.,,Create;Insert,Documents;Forms,Forms,
rid-ins-fm-dc-c-ob-rb-lnk-form,Create Form To Document Common Object Radio Button Link,Configurator;Controller,FORM,rid-ins-fm-dc-c-ob-rb-lnk-form,,Create a form to document common object radio button link.,,Create;Insert,Documents;Forms,Forms,
rid-ins-fm-doc-crtd-by-id-link-form,Create Form To Document-Created-By-ID Field Link,Configurator;Controller,FORM,rid-ins-fm-doc-crtd-by-id-link-form,,Create a form to document created-by-id field link.,,Create;Insert,Documents;Forms,Forms;Created By ID,
rid-ins-fm-doc-crtd-by-nm-link-form,Create Form To Document-Created-By-Name Field Link,Configurator;Controller,FORM,rid-ins-fm-doc-crtd-by-nm-link-form,,Create a form to document created-by-name field link.,,Create;Insert,Documents;Forms,Forms;Created By,
rid-ins-fm-doc-funct-lst-links-form,Create Form To Document Duty Function List Field Link,Configurator;Controller,FORM,rid-ins-fm-doc-funct-lst-links-form,,Create a form to document duty function list link.,,Create;Insert,Documents,DutyFunctionList,
rid-ins-fm-fl-c-ob-ms-lnk-form,Create Form To File Common Object Multi-Select Link,Configurator;Controller,FORM,rid-ins-fm-fl-c-ob-ms-lnk-form,,Create a form to file common object multi-select link.,,Create;Insert,Files;Forms,Forms,
rid-ins-fm-fl-c-ob-rb-lnk-form,Create Form To File Radio Button Object Link,Configurator;Controller,FORM,rid-ins-fm-fl-c-ob-rb-lnk-form,,Create a form to file radio button object link.,,Create;Insert,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-ins-fm-fl-com-obj-ms-def-form,Create Form File Common Object Default,Configurator,FORM,rid-ins-fm-fl-com-obj-ms-def-form,,Create a default record for a form file common object.,,Create;Insert,Files;Forms,Forms,
rid-ins-fm-fl-crtd-by-id-link-form,Create Form To File-Created-By-ID Field Link,Configurator;Controller,FORM,rid-ins-fm-fl-crtd-by-id-link-form,,Create a form to file created-by-id field link.,,Create;Insert,Files;Forms,Forms;Created By ID,
rid-ins-fm-fl-crtd-by-nm-link-form,Create Form To File-Created-By-Name Field Link,Configurator;Controller,FORM,rid-ins-fm-fl-crtd-by-nm-link-form,,Create a form to file created-by-name field link.,,Create;Insert,Files;Forms,Forms;Created By,
rid-ins-fm-fl-funct-lst-links-form,Create Form To File Duty Function List Field Link,Configurator;Controller,FORM,rid-ins-fm-fl-funct-lst-links-form,,Create a form to file duty function list link.,,Create;Insert,Files,DutyFunctionField,
rid-ins-form-doc-created-link-form,Create Form To Document-Created-Date Field Link,Configurator;Controller,FORM,rid-ins-form-doc-created-link-form,,Create a link between a form and the document created date field.,,Create;Insert,Documents;Forms,Forms;Created,
rid-ins-form-doc-date-link-form,Create Form To Document Date Name Field Link,Configurator;Controller,FORM,rid-ins-form-doc-date-link-form,,Create a form to document date name field link.,,Create;Insert,Documents,DocDateField,
rid-ins-form-doc-free-text-lnk-form,Create Form To Document Free Text Field Link,Configurator;Controller,FORM,rid-ins-form-doc-free-text-lnk-form,,Create a form to document free text name field link.,,Create;Insert,Documents,DocFreeTextField,
rid-ins-form-doc-int-lnk-form,Create Form To Document Integer Field Link,Configurator;Controller,FORM,rid-ins-form-doc-int-lnk-form,,Create a form to document integer field link.,,Create;Insert,Documents,DocIntegerField,
rid-ins-form-doc-lock-link-form,Create Form To Document Lock Status Field Link,Configurator;Controller,FORM,rid-ins-form-doc-lock-link-form,,Create a form to document lock status link.,,Create;Insert,Documents;Forms,Forms;Lock Status,
rid-ins-form-doc-ms-link-form,Create Form To Document Multi-Select Field Link,Configurator;Controller,FORM,rid-ins-form-doc-ms-link-form,,Create a form to document multi-select field link.,,Create;Insert,Documents,DocMultiSelectList,
rid-ins-form-doc-multi-sel-def-form,Create Form To Document Multi-Select Object Default,Configurator,FORM,rid-ins-form-doc-multi-sel-def-form,,Create a default record for a form document multi-select object.,,Create;Insert,Documents,DocMultiSelectList,
rid-ins-form-doc-radiob-link-form,Create Form To Document Radio Button List Link,Configurator;Controller,FORM,rid-ins-form-doc-radiob-link-form,,Link a document radio button list to a form.,,Link,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-ins-form-doc-real-link-form,Create Form To Document Real Number Field Link,Configurator;Controller,FORM,rid-ins-form-doc-real-link-form,,Create a form to document real number field link.,,Create;Insert,Documents,DocRealNumberField,
rid-ins-form-doc-tr-grp-link-form,Create Form To Document Transaction Group Field Link,Configurator;Controller,FORM,rid-ins-form-doc-tr-grp-link-form,,Create a form to document transaction group link.,,Create;Insert,Documents;Forms,Forms;Transaction Groups,
rid-ins-form-file-created-link-form,Create Form To File-Created-Date Field Link,Configurator;Controller,FORM,rid-ins-form-file-created-link-form,,Create a link between a form and the file created date field.,,Create;Insert,Files;Forms,Forms;Created,
rid-ins-form-file-date-link-form,Create Form To File Date Field Link,Configurator;Controller,FORM,rid-ins-form-file-date-link-form,,Create a form to file date link.,,Create;Insert,Files,FileDateField,
rid-ins-form-file-free-txt-lnk-form,Create Form To File Free Text Field Link,Configurator;Controller,FORM,rid-ins-form-file-free-txt-lnk-form,,Create a form to file free text field link.,,Create;Insert,Files,FileFreeTextField,
rid-ins-form-file-hash-link-form,Create Form To File Content Hash Field Link,Configurator;Controller,FORM,rid-ins-form-file-hash-link-form,,Create a form to file content hash field link.,,Create;Insert,Files;Forms,Forms;Content Hash,
rid-ins-form-file-int-lnk-form,Create Form To File Integer Field Link,Configurator;Controller,FORM,rid-ins-form-file-int-lnk-form,,Create a form to file integer field link.,,Create;Insert,Files,FileIntegerField,
rid-ins-form-file-ms-link-form,Create Form To File Multi-Select List Link,Configurator;Controller,FORM,rid-ins-form-file-ms-link-form,,Create a form to file multi select list link.,,Create;Insert,Files;Forms,Forms,
rid-ins-form-file-name-link-form,Create Form To Filename Field Link,Configurator;Controller,FORM,rid-ins-form-file-name-link-form,,Create a form to file filename link.,,Create;Insert,Files;Forms,Forms;Filename,
rid-ins-form-file-plist-links-form,Create Form To File People List Field Link,Configurator;Controller,FORM,rid-ins-form-file-plist-links-form,,Create a form to file people list link.,,Create;Insert,Files;Forms,Forms;PeopleList,
rid-ins-form-file-radiob-link-form,Create Form To File Radio Button List Field Link,Configurator;Controller,FORM,rid-ins-form-file-radiob-link-form,,Create a form to file radio button list link.,,Create;Insert,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-ins-form-file-real-link-form,Create Form To File Real Number Field Link,Configurator;Controller,FORM,rid-ins-form-file-real-link-form,,Create a form to file real number link.,,Create;Insert,Files,FileRealNumberField,
rid-ins-form-file-size-link-form,Create Form To File Size Field Link,Configurator;Controller,FORM,rid-ins-form-file-size-link-form,,Create a form to file size link.,,Create;Insert,Files;Forms,Forms;File Size,
rid-ins-form-file-tr-grp-link-form,Create Form To File Transaction Group Link,Configurator;Controller,FORM,rid-ins-form-file-tr-grp-link-form,,Create a form to file transaction group link.,,Create;Insert,Files;Forms,Forms;Transaction Groups,
rid-ins-form-group-name-form,Create Form Group Name,Configurator,FORM,rid-ins-form-group-name-form,,Create a new form group name.,,Create;Insert,Files;Forms,FormGroups,
rid-ins-form-id-name-form,Create Form,Configurator;Controller,FORM,rid-ins-form-id-name-form,,Create a form identifier record. If the connected user is a controller but not a configurator then the form ID must be owned by the connected user.,,Create;Insert,Forms,Forms,
rid-ins-frm-doc-funct-links-form,Create Form To Document Duty Function Field Link,Configurator;Controller,FORM,rid-ins-frm-doc-funct-links-form,,Create a form to document duty function link.,,Create;Insert,Documents,DutyFunctionField,
rid-ins-frm-doc-ppl-lst-lnks-form,Create Form To Document People List Field Link,Configurator;Controller,FORM,rid-ins-frm-doc-ppl-lst-lnks-form,,Create a form to document people list link.,,Create;Insert,Documents;Forms,Forms;PeopleList,
rid-ins-frm-doc-user-lnks-form,Create Form Document To User Link,Configurator,FORM,rid-ins-frm-doc-user-lnks-form,,Insert a form to document to user ID link.,,Create;Insert,Documents;Users;Forms,GeneralFieldName;Forms,
rid-ins-frm-file-funct-links-form,Create Form To File Duty Function Field Link,Configurator;Controller,FORM,rid-ins-frm-file-funct-links-form,,Create a form to file duty function link.,,Create;Insert,Files,DutyFunctionField,
