CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
rid-upd-file-rb-restriction-form,Update File Radio Button List Restricted Flag,Configurator,FORM,rid-upd-file-rb-restriction-form,,Update the restricted flag for a file radio button list.,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-file-real-field-name-form,Update File Real Number Text Fields,Configurator,FORM,rid-upd-file-real-field-name-form,,Update the text field for a file real number name field.,,Update;Change;Revise,Files,FileRealNumberField;FileRadioButtonAttribute,
rid-upd-file-real-value-form,Update File Real Number Value,Controller;Editor,FORM,rid-upd-file-real-value-form,,Update a file real number value.,,Update;Change;Revise,Files,FileRealNumberField;FileRadioButtonAttribute,
rid-upd-file-text-field-name-form,Update File Text Field Name Text Fields,Configurator,FORM,rid-upd-file-text-field-name-form,,Update the text field for a file text field name.,,Update;Change;Revise,Files,FileFreeTextField,
rid-upd-file-text-value-form,Update File Text Field Value,Controller;Editor,FORM,rid-upd-file-text-value-form,,Update a file text field value.,,Update;Change;Revise,Files,FileFreeTextField,
rid-upd-file-to-com-obj-rb-lnk-form,Update File To Radio Button Common Object Link,Editor,FORM,rid-upd-file-to-com-obj-rb-lnk-form,,Update a file to radio button common object link.,,Update;Change;Revise,Files,CommonObjectListName,
rid-upd-file-to-obj-ms-link-form,Update File To Multi-Select Common Object Link,Editor,FORM,rid-upd-file-to-cm-obj-ms-link-form,,Update a file to multi-select common object link.,,Update;Change;Revise,Files,CommonObjectListName,
rid-upd-file-transaction-group-form,Update File Transaction Group,Controller;Editor,FORM,rid-upd-file-transaction-group-form,,Update a file transaction group.,,Update;Change;Revise,Files,Transaction Groups,
rid-upd-filter-group-posn-form,Update Filter Group List Position,Configurator,FORM,rid-upd-filter-group-posn-form,,Update the list position of a filter group.,,Update;Change;Revise,,FilterGroups,
rid-upd-filter-group-text-form,Update Filter Group Text Fields,Configurator,FORM,rid-upd-filter-group-text-form,,Update the text fields of a filter group.,,Update;Change;Revise,,FilterGroups,
rid-upd-fl-gp-ed-prm-fct-notes-form,Update File Group Function List Edit Permission Notes,Controller,FORM,rid-upd-fl-gp-ed-prm-fct-notes-form,,Update the notes column of a file group function list edit permission record.,,Update;Change;Revise,Files,FileGroups,
